,appid,total_playtime,appname,lat,lon,country
751,359050,79,Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad,34.1667451,132.2191641,JP
760,363970,1402,Clicker Heroes,34.1667451,132.2191641,JP
811,367450,54,Poly Bridge,34.1667451,132.2191641,JP
812,385770,25,Time Clickers,34.1667451,132.2191641,JP
817,387290,853,Ori and the Blind Forest: Definitive Edition,34.1667451,132.2191641,JP
832,236110,60,Dungeon Defenders II,34.1667451,132.2191641,JP
834,311210,243,Call of Duty: Black Ops III,34.1667451,132.2191641,JP
836,394510,84,HELLDIVERS™,34.1667451,132.2191641,JP
839,427730,27,Who's Your Daddy?!,34.1667451,132.2191641,JP
842,244930,426,SNOW,34.1667451,132.2191641,JP
857,449680,4,SAMOLIOTIK,34.1667451,132.2191641,JP
861,240,98,Counter-Strike: Source,41.87194,12.56738,IT
880,3830,1101,Psychonauts,41.87194,12.56738,IT
886,4000,21749,Garry's Mod,41.87194,12.56738,IT
894,220,4147,Half-Life 2,41.87194,12.56738,IT
922,380,653,Half-Life 2: Episode One,41.87194,12.56738,IT
932,400,683,Portal,41.87194,12.56738,IT
940,420,571,Half-Life 2: Episode Two,41.87194,12.56738,IT
955,12900,234,Audiosurf,41.87194,12.56738,IT
958,26800,430,Braid,41.87194,12.56738,IT
969,1250,7325,Killing Floor,41.87194,12.56738,IT
1037,3590,886,Plants vs. Zombies: Game of the Year,41.87194,12.56738,IT
1042,41500,1491,Torchlight,41.87194,12.56738,IT
1058,500,669,Left 4 Dead,41.87194,12.56738,IT
1084,550,3611,Left 4 Dead 2,41.87194,12.56738,IT
1109,8190,84,Just Cause 2,41.87194,12.56738,IT
1112,35140,263,Batman: Arkham Asylum GOTY Edition,41.87194,12.56738,IT
1129,49600,1234,Beat Hazard,41.87194,12.56738,IT
1155,31280,399,Poker Night at the Inventory,41.87194,12.56738,IT
1168,41000,24,Serious Sam HD: The First Encounter,41.87194,12.56738,IT
1169,22380,16015,Fallout: New Vegas,41.87194,12.56738,IT
1192,63700,289,BIT.TRIP BEAT,41.87194,12.56738,IT
1201,40800,436,Super Meat Boy,41.87194,12.56738,IT
1204,93200,161,Revenge of the Titans,41.87194,12.56738,IT
1227,227560,160,Scourge: Outbreak,41.87194,12.56738,IT
1236,15750,208,Oddworld: Stranger's Wrath HD,41.87194,12.56738,IT
1242,620,1614,Portal 2,41.87194,12.56738,IT
1267,71230,19,Crazy Taxi,41.87194,12.56738,IT
1268,71250,2801,Sonic Adventure DX,41.87194,12.56738,IT
1283,48000,105,LIMBO,41.87194,12.56738,IT
1286,72850,8547,The Elder Scrolls V: Skyrim,41.87194,12.56738,IT
1320,113200,1362,The Binding of Isaac,41.87194,12.56738,IT
1338,71340,1490,Sonic Generations,41.87194,12.56738,IT
1379,91600,118,Sanctum,41.87194,12.56738,IT
1384,41070,285,Serious Sam 3: BFE,41.87194,12.56738,IT
1395,23530,1339,Earth Defense Force: Insect Armageddon,41.87194,12.56738,IT
1425,200940,21,Sonic CD,41.87194,12.56738,IT
1427,207610,132,The Walking Dead,41.87194,12.56738,IT
1435,205910,34,Tiny and Big: Grandpa's Leftovers,41.87194,12.56738,IT
1440,98400,63,Hard Reset,41.87194,12.56738,IT
1450,200260,51,Batman: Arkham City GOTY,41.87194,12.56738,IT
1453,219150,611,Hotline Miami,41.87194,12.56738,IT
1463,200510,513,XCOM: Enemy Unknown,41.87194,12.56738,IT
1478,43110,70,Metro 2033,41.87194,12.56738,IT
1479,213610,3990,Sonic Adventure™ 2 ,41.87194,12.56738,IT
1488,212480,983,Sonic & All-Stars Racing Transformed Collection,41.87194,12.56738,IT
1505,221040,68,Resident Evil 6,41.87194,12.56738,IT
1507,203160,793,Tomb Raider,41.87194,12.56738,IT
1533,246900,1860,Viscera Cleanup Detail,41.87194,12.56738,IT
1548,250520,134,Underrail,41.87194,12.56738,IT
1550,253030,42,Race The Sun,41.87194,12.56738,IT
1552,253230,210,A Hat in Time,41.87194,12.56738,IT
1553,205100,1355,Dishonored,41.87194,12.56738,IT
1579,238010,2672,Deus Ex: Human Revolution - Director's Cut,41.87194,12.56738,IT
1615,213670,271,South Park™: The Stick of Truth™,41.87194,12.56738,IT
1622,254700,3466,Resident Evil 4,41.87194,12.56738,IT
1634,286160,854,Tabletop Simulator,41.87194,12.56738,IT
1638,287700,14376,METAL GEAR SOLID V: THE PHANTOM PAIN,41.87194,12.56738,IT
1669,244160,214,Homeworld Remastered Collection,41.87194,12.56738,IT
1672,311340,885,METAL GEAR SOLID V: GROUND ZEROES,41.87194,12.56738,IT
1677,312230,175,Spirits of Xanadu,41.87194,12.56738,IT
1686,247080,63,Crypt of the NecroDancer,41.87194,12.56738,IT
1687,222480,596,Resident Evil Revelations,41.87194,12.56738,IT
1706,242640,182,Styx: Master of Shadows,41.87194,12.56738,IT
1708,211420,8777,DARK SOULS™: Prepare To Die Edition,41.87194,12.56738,IT
1729,282070,395,This War of Mine,41.87194,12.56738,IT
1737,335300,5063,DARK SOULS™ II: Scholar of the First Sin,41.87194,12.56738,IT
1755,250900,257,The Binding of Isaac: Rebirth,41.87194,12.56738,IT
1762,287290,339,Resident Evil Revelations 2,41.87194,12.56738,IT
1765,201810,521,Wolfenstein: The New Order,41.87194,12.56738,IT
1788,350080,157,Wolfenstein: The Old Blood ,41.87194,12.56738,IT
1793,297130,11,Titan Souls,41.87194,12.56738,IT
1794,362890,648,Black Mesa,41.87194,12.56738,IT
1798,268050,158,The Evil Within,41.87194,12.56738,IT
1801,238370,81,Magicka 2,41.87194,12.56738,IT
1802,292030,901,The Witcher 3: Wild Hunt,41.87194,12.56738,IT
1803,374320,18562,DARK SOULS™ III,41.87194,12.56738,IT
1837,377160,8014,Fallout 4,41.87194,12.56738,IT
1854,304240,2321,Resident Evil,41.87194,12.56738,IT
1884,339340,614,Resident Evil 0,41.87194,12.56738,IT
1899,431240,4191,Golf With Your Friends,41.87194,12.56738,IT
1909,236870,512,HITMAN™,41.87194,12.56738,IT
1919,400,1137,Portal,1.352083,103.819836,SG
1931,500,1650,Left 4 Dead,1.352083,103.819836,SG
1986,1250,530,Killing Floor,1.352083,103.819836,SG
2012,550,427677,Left 4 Dead 2,1.352083,103.819836,SG
2082,45740,3219,Dead Rising 2,1.352083,103.819836,SG
2122,71230,122,Crazy Taxi,1.352083,103.819836,SG
2124,620,12988,Portal 2,1.352083,103.819836,SG
2174,45770,29231,Dead Rising 2: Off the Record,1.352083,103.819836,SG
2219,207610,3058,The Walking Dead,1.352083,103.819836,SG
2267,91310,22006,Dead Island,1.352083,103.819836,SG
2314,55230,2665,Saints Row: The Third,1.352083,103.819836,SG
2359,221040,551,Resident Evil 6,1.352083,103.819836,SG
2371,250180,2485,METAL SLUG 3,1.352083,103.819836,SG
2399,238430,308,Contagion,1.352083,103.819836,SG
2401,261030,1642,The Walking Dead: Season Two,1.352083,103.819836,SG
2441,246580,10429,The Typing of The Dead: Overkill,1.352083,103.819836,SG
2474,266010,189,LYNE,1.352083,103.819836,SG
2480,246620,4958,Plague Inc: Evolved,1.352083,103.819836,SG
2608,254700,237,Resident Evil 4,1.352083,103.819836,SG
2609,312610,514,METAL SLUG X,1.352083,103.819836,SG
2622,206420,265,Saints Row IV,1.352083,103.819836,SG
2632,265550,7566,Dead Rising 3,1.352083,103.819836,SG
2719,21690,534,Resident Evil 5,1.352083,103.819836,SG
2721,366250,304,METAL SLUG,1.352083,103.819836,SG
2734,239140,1152,Dying Light,1.352083,103.819836,SG
2759,240,2166,Counter-Strike: Source,55.7583217,8.9249494,DK
2814,4000,6892,Garry's Mod,55.7583217,8.9249494,DK
2823,220,857,Half-Life 2,55.7583217,8.9249494,DK
2846,380,263,Half-Life 2: Episode One,55.7583217,8.9249494,DK
2852,400,195,Portal,55.7583217,8.9249494,DK
2857,420,433,Half-Life 2: Episode Two,55.7583217,8.9249494,DK
2871,10500,5052,Total War: EMPIRE - Definitive Edition,55.7583217,8.9249494,DK
2874,22200,60,Zeno Clash,55.7583217,8.9249494,DK
2875,35700,191,Trine,55.7583217,8.9249494,DK
2876,40400,7,AI War: Fleet Command,55.7583217,8.9249494,DK
2877,550,2656,Left 4 Dead 2,55.7583217,8.9249494,DK
2903,10680,697,Aliens vs. Predator,55.7583217,8.9249494,DK
2927,8190,71,Just Cause 2,55.7583217,8.9249494,DK
2930,48700,44478,Mount & Blade: Warband,55.7583217,8.9249494,DK
2985,8850,1256,BioShock 2,55.7583217,8.9249494,DK
2988,34030,3696,Total War: NAPOLEON - Definitive Edition,55.7583217,8.9249494,DK
3000,43110,393,Metro 2033,55.7583217,8.9249494,DK
3015,42120,295,Lead and Gold - Gangs of the Wild West,55.7583217,8.9249494,DK
3026,28000,219,Kane & Lynch 2: Dog Days,55.7583217,8.9249494,DK
3043,22380,5363,Fallout: New Vegas,55.7583217,8.9249494,DK
3065,34330,32268,Total War: SHOGUN 2,55.7583217,8.9249494,DK
3120,42910,1284,Magicka,55.7583217,8.9249494,DK
3154,64000,231,Men of War: Assault Squad,55.7583217,8.9249494,DK
3159,620,237,Portal 2,55.7583217,8.9249494,DK
3170,57900,316,Duke Nukem Forever,55.7583217,8.9249494,DK
3187,48720,1435,Mount & Blade: With Fire and Sword,55.7583217,8.9249494,DK
3192,20920,1694,The Witcher 2: Assassins of Kings Enhanced Edition,55.7583217,8.9249494,DK
3220,98200,452,Frozen Synapse,55.7583217,8.9249494,DK
3225,21100,275,F.E.A.R. 3,55.7583217,8.9249494,DK
3228,48000,278,LIMBO,55.7583217,8.9249494,DK
3230,18070,259,The Baconing,55.7583217,8.9249494,DK
3232,17710,38,Nuclear Dawn,55.7583217,8.9249494,DK
3239,35450,1229,Rising Storm/Red Orchestra 2 Multiplayer,55.7583217,8.9249494,DK
3253,8930,2329,Sid Meier's Civilization V,55.7583217,8.9249494,DK
3260,102600,224,Orcs Must Die!,55.7583217,8.9249494,DK
3266,72850,2950,The Elder Scrolls V: Skyrim,55.7583217,8.9249494,DK
3288,55230,1790,Saints Row: The Third,55.7583217,8.9249494,DK
3316,6120,102,Shank,55.7583217,8.9249494,DK
3319,207610,1518,The Walking Dead,55.7583217,8.9249494,DK
3367,204100,422,Max Payne 3,55.7583217,8.9249494,DK
3376,55040,133,Atom Zombie Smasher ,55.7583217,8.9249494,DK
3384,98800,416,Dungeons of Dredmor,55.7583217,8.9249494,DK
3403,113200,274,The Binding of Isaac,55.7583217,8.9249494,DK
3412,50130,612,Mafia II (Classic),55.7583217,8.9249494,DK
3443,67370,482,The Darkness II,55.7583217,8.9249494,DK
3468,201790,282,Orcs Must Die! 2,55.7583217,8.9249494,DK
3475,213120,454,Transformers: Fall of Cybertron,55.7583217,8.9249494,DK
3494,730,1162,Counter-Strike: Global Offensive,55.7583217,8.9249494,DK
3539,200510,1410,XCOM: Enemy Unknown,55.7583217,8.9249494,DK
3559,214970,75,Intrusion 2,55.7583217,8.9249494,DK
3561,220780,56,Thomas Was Alone,55.7583217,8.9249494,DK
3572,49520,3079,Borderlands 2,55.7583217,8.9249494,DK
3593,200710,2304,Torchlight II,55.7583217,8.9249494,DK
3651,8870,757,BioShock Infinite,55.7583217,8.9249494,DK
3682,211400,29,Deadlight,55.7583217,8.9249494,DK
3684,4920,995,Natural Selection 2,55.7583217,8.9249494,DK
3700,223470,334,POSTAL 2,55.7583217,8.9249494,DK
3719,225160,86,Shadow Warrior Classic Redux,55.7583217,8.9249494,DK
3722,50620,523,Darksiders,55.7583217,8.9249494,DK
3738,203160,696,Tomb Raider,55.7583217,8.9249494,DK
3754,218130,10,Dungeonland,55.7583217,8.9249494,DK
3757,236390,704,War Thunder,55.7583217,8.9249494,DK
3763,209870,380,Blacklight: Retribution,55.7583217,8.9249494,DK
3767,265630,631,Fistful of Frags,55.7583217,8.9249494,DK
3771,224260,566,No More Room in Hell,55.7583217,8.9249494,DK
3777,225260,580,Brütal Legend,55.7583217,8.9249494,DK
3791,1250,1325,Killing Floor,55.7583217,8.9249494,DK
3824,91310,737,Dead Island,55.7583217,8.9249494,DK
3841,31280,113,Poker Night at the Inventory,55.7583217,8.9249494,DK
3848,204450,60,Call of Juarez Gunslinger,55.7583217,8.9249494,DK
3850,236090,682,Dust: An Elysian Tail,55.7583217,8.9249494,DK
3870,206190,133,Gunpoint,55.7583217,8.9249494,DK
3893,242920,4638,Banished,55.7583217,8.9249494,DK
3924,39140,361,FINAL FANTASY VII,55.7583217,8.9249494,DK
3930,214950,6814,Total War: ROME II - Emperor Edition,55.7583217,8.9249494,DK
3963,234390,102,Teleglitch: Die More Edition,55.7583217,8.9249494,DK
3965,248390,36,Craft The World,55.7583217,8.9249494,DK
3966,239350,1,Spelunky,55.7583217,8.9249494,DK
3967,218620,786,PAYDAY 2,55.7583217,8.9249494,DK
3981,206420,1490,Saints Row IV,55.7583217,8.9249494,DK
4023,236850,39650,Europa Universalis IV,55.7583217,8.9249494,DK
4027,250180,110,METAL SLUG 3,55.7583217,8.9249494,DK
4038,250320,666,The Wolf Among Us,55.7583217,8.9249494,DK
4070,205100,762,Dishonored,55.7583217,8.9249494,DK
4090,241540,1286,State of Decay,55.7583217,8.9249494,DK
4115,221910,129,The Stanley Parable,55.7583217,8.9249494,DK
4118,261030,493,The Walking Dead: Season Two,55.7583217,8.9249494,DK
4150,261180,141,Lethal League,55.7583217,8.9249494,DK
4153,221380,222,Age of Empires II (2013),55.7583217,8.9249494,DK
4171,264200,768,One Finger Death Punch,55.7583217,8.9249494,DK
4261,265120,78,Meridian: New World,55.7583217,8.9249494,DK
4268,266510,171,Hand of Fate,55.7583217,8.9249494,DK
4274,235460,343,METAL GEAR RISING: REVENGEANCE,55.7583217,8.9249494,DK
4281,237990,646,The Banner Saga,55.7583217,8.9249494,DK
4307,226840,1692,Age of Wonders III,55.7583217,8.9249494,DK
4326,282070,231,This War of Mine,55.7583217,8.9249494,DK
4334,254700,1193,Resident Evil 4,55.7583217,8.9249494,DK
4339,292030,4565,The Witcher 3: Wild Hunt,55.7583217,8.9249494,DK
4370,201810,527,Wolfenstein: The New Order,55.7583217,8.9249494,DK
4390,245620,2204,Tropico 5,55.7583217,8.9249494,DK
4420,238460,166,BattleBlock Theater,55.7583217,8.9249494,DK
4425,227700,1729,Firefall,55.7583217,8.9249494,DK
4437,229810,194,A Fistful of Gun,55.7583217,8.9249494,DK
4446,214490,241,Alien: Isolation,55.7583217,8.9249494,DK
4458,322500,100,SUPERHOT,55.7583217,8.9249494,DK
4465,287450,557,Rise of Nations: Extended Edition,55.7583217,8.9249494,DK
4468,232890,13,Stronghold Crusader 2,55.7583217,8.9249494,DK
4469,241930,1526,Middle-earth™: Shadow of Mordor™,55.7583217,8.9249494,DK
4510,297120,122,Heavy Bullets,55.7583217,8.9249494,DK
4513,289130,5010,ENDLESS™ Legend,55.7583217,8.9249494,DK
4553,305620,1444,The Long Dark,55.7583217,8.9249494,DK
4556,333930,1519,Dirty Bomb,55.7583217,8.9249494,DK
4572,333970,145,A Druid's Duel,55.7583217,8.9249494,DK
4585,319630,759,Life is Strange™,55.7583217,8.9249494,DK
4609,234140,919,Mad Max,55.7583217,8.9249494,DK
4622,265750,241,Secret Ponchos,55.7583217,8.9249494,DK
4635,255710,3413,Cities: Skylines,55.7583217,8.9249494,DK
4652,4000,29021,Garry's Mod,69.0655058,33.4092689,RU
4681,12900,568,Audiosurf,69.0655058,33.4092689,RU
4689,1250,9502,Killing Floor,69.0655058,33.4092689,RU
4974,550,70750,Left 4 Dead 2,69.0655058,33.4092689,RU
5044,41000,743,Serious Sam HD: The First Encounter,69.0655058,33.4092689,RU
5079,49600,5405,Beat Hazard,69.0655058,33.4092689,RU
5133,620,1467,Portal 2,69.0655058,33.4092689,RU
5184,91200,220,Anomaly Warzone Earth,69.0655058,33.4092689,RU
5226,105600,3772,Terraria,69.0655058,33.4092689,RU
5314,97000,82,Solar 2,69.0655058,33.4092689,RU
5315,8930,6140,Sid Meier's Civilization V,69.0655058,33.4092689,RU
5601,113200,2013,The Binding of Isaac,69.0655058,33.4092689,RU
5685,67370,136,The Darkness II,69.0655058,33.4092689,RU
5692,22490,12340,Fallout: New Vegas RU,69.0655058,33.4092689,RU
5767,102500,1163,Kingdoms of Amalur: Reckoning™,69.0655058,33.4092689,RU
5828,91310,2225,Dead Island,69.0655058,33.4092689,RU
5876,211420,7222,DARK SOULS™: Prepare To Die Edition,69.0655058,33.4092689,RU
5917,240,1997,Counter-Strike: Source,69.0655058,33.4092689,RU
5980,730,3016,Counter-Strike: Global Offensive,69.0655058,33.4092689,RU
6147,204300,1161,Awesomenauts,69.0655058,33.4092689,RU
6197,204360,480,Castle Crashers,69.0655058,33.4092689,RU
6209,49520,17783,Borderlands 2,69.0655058,33.4092689,RU
6284,200710,5950,Torchlight II,69.0655058,33.4092689,RU
6403,214870,332,Painkiller Hell & Damnation,69.0655058,33.4092689,RU
6510,55230,1940,Saints Row: The Third,69.0655058,33.4092689,RU
6581,223470,533,POSTAL 2,69.0655058,33.4092689,RU
6669,221640,440,Super Hexagon,69.0655058,33.4092689,RU
6670,230410,16359,Warframe,69.0655058,33.4092689,RU
6802,238960,4005,Path of Exile,69.0655058,33.4092689,RU
6826,265630,63,Fistful of Frags,69.0655058,33.4092689,RU
6827,224260,58,No More Room in Hell,69.0655058,33.4092689,RU
6828,221040,5534,Resident Evil 6,69.0655058,33.4092689,RU
6898,225260,454,Brütal Legend,69.0655058,33.4092689,RU
6912,234710,294,Poker Night 2,69.0655058,33.4092689,RU
6930,222480,4138,Resident Evil Revelations,69.0655058,33.4092689,RU
6980,72850,27780,The Elder Scrolls V: Skyrim,69.0655058,33.4092689,RU
7055,241600,783,Rogue Legacy,69.0655058,33.4092689,RU
7069,41070,695,Serious Sam 3: BFE,69.0655058,33.4092689,RU
7131,217140,173,Rise of the Triad,69.0655058,33.4092689,RU
7145,42910,926,Magicka,69.0655058,33.4092689,RU
7233,220,6061,Half-Life 2,69.0655058,33.4092689,RU
7266,380,5162,Half-Life 2: Episode One,69.0655058,33.4092689,RU
7279,400,198,Portal,69.0655058,33.4092689,RU
7294,420,5236,Half-Life 2: Episode Two,69.0655058,33.4092689,RU
7316,237110,1268,Mortal Kombat Komplete Edition,69.0655058,33.4092689,RU
7328,207140,178,SpeedRunners,69.0655058,33.4092689,RU
7333,239350,152,Spelunky,69.0655058,33.4092689,RU
7335,218620,14987,PAYDAY 2,69.0655058,33.4092689,RU
7735,239820,799,Game Dev Tycoon,69.0655058,33.4092689,RU
7767,225280,888,Full Mojo Rampage,69.0655058,33.4092689,RU
7792,206420,5792,Saints Row IV,69.0655058,33.4092689,RU
7863,250900,19996,The Binding of Isaac: Rebirth,69.0655058,33.4092689,RU
8139,236450,233,PAC-MAN Championship Edition DX+,69.0655058,33.4092689,RU
8149,241540,822,State of Decay,69.0655058,33.4092689,RU
8179,219990,9666,Grim Dawn,69.0655058,33.4092689,RU
8247,249330,195,Unholy Heights,69.0655058,33.4092689,RU
8267,251170,238,Damned,69.0655058,33.4092689,RU
8282,235800,3861,Audiosurf 2,69.0655058,33.4092689,RU
8284,221910,193,The Stanley Parable,69.0655058,33.4092689,RU
8291,238430,2230,Contagion,69.0655058,33.4092689,RU
8327,262060,26454,Darkest Dungeon®,69.0655058,33.4092689,RU
8391,262790,568,Our Darker Purpose,69.0655058,33.4092689,RU
8393,262830,2878,Crimsonland,69.0655058,33.4092689,RU
8414,264140,373,Pixel Piracy,69.0655058,33.4092689,RU
8415,264200,2277,One Finger Death Punch,69.0655058,33.4092689,RU
8567,242700,927,Injustice: Gods Among Us Ultimate Edition,69.0655058,33.4092689,RU
8617,265930,139,Goat Simulator,69.0655058,33.4092689,RU
8620,9200,122,RAGE,69.0655058,33.4092689,RU
8623,269210,970,Hero Siege,69.0655058,33.4092689,RU
8649,270880,30942,American Truck Simulator,69.0655058,33.4092689,RU
8665,8850,14,BioShock 2,69.0655058,33.4092689,RU
8733,8870,335,BioShock Infinite,69.0655058,33.4092689,RU
8755,271590,88793,Grand Theft Auto V,69.0655058,33.4092689,RU
8824,222880,2572,Insurgency,69.0655058,33.4092689,RU
8908,239160,4846,Thief,69.0655058,33.4092689,RU
8915,246620,3064,Plague Inc: Evolved,69.0655058,33.4092689,RU
9057,254700,4303,Resident Evil 4,69.0655058,33.4092689,RU
9065,286690,4785,Metro 2033 Redux,69.0655058,33.4092689,RU
9114,287390,5290,Metro: Last Light Redux,69.0655058,33.4092689,RU
9163,286160,1264,Tabletop Simulator,69.0655058,33.4092689,RU
9167,298260,1,Only If,69.0655058,33.4092689,RU
9177,238460,270,BattleBlock Theater,69.0655058,33.4092689,RU
9178,250400,167,How to Survive,69.0655058,33.4092689,RU
9181,311690,3101,Enter the Gungeon,69.0655058,33.4092689,RU
9229,115320,665,PROTOTYPE 2,69.0655058,33.4092689,RU
9272,233720,222,Surgeon Simulator,69.0655058,33.4092689,RU
9386,265550,365,Dead Rising 3,69.0655058,33.4092689,RU
9398,241930,1154,Middle-earth™: Shadow of Mordor™,69.0655058,33.4092689,RU
9472,321040,149,DiRT 3 Complete Edition,69.0655058,33.4092689,RU
9473,21690,5823,Resident Evil 5,69.0655058,33.4092689,RU
9511,335300,39955,DARK SOULS™ II: Scholar of the First Sin,69.0655058,33.4092689,RU
9549,339800,1622,HuniePop,69.0655058,33.4092689,RU
9555,341000,5431,Mad Games Tycoon,69.0655058,33.4092689,RU
9585,346900,184,AdVenture Capitalist,69.0655058,33.4092689,RU
9588,307780,1039,Mortal Kombat X,69.0655058,33.4092689,RU
9648,287290,4705,Resident Evil Revelations 2,69.0655058,33.4092689,RU
9691,351800,37,Dev Guy,69.0655058,33.4092689,RU
9698,232090,35737,Killing Floor 2,69.0655058,33.4092689,RU
9795,362890,511,Black Mesa,69.0655058,33.4092689,RU
9801,363970,505,Clicker Heroes,69.0655058,33.4092689,RU
9833,234630,14333,Project CARS,69.0655058,33.4092689,RU
9878,208580,3230,STAR WARS™ Knights of the Old Republic™ II: The Sith Lords™,69.0655058,33.4092689,RU
9912,341940,145,Hatred,69.0655058,33.4092689,RU
9917,386360,1030,SMITE,69.0655058,33.4092689,RU
10058,394310,2717,Punch Club,69.0655058,33.4092689,RU
10087,235540,1629,Warhammer: End Times - Vermintide,69.0655058,33.4092689,RU
10111,405010,3393,Bitardia,69.0655058,33.4092689,RU
10121,413150,910,Stardew Valley,69.0655058,33.4092689,RU
10125,230230,2040,Divinity: Original Sin (Classic),69.0655058,33.4092689,RU
10188,373420,312,Divinity: Original Sin Enhanced Edition,69.0655058,33.4092689,RU
10242,268500,2695,XCOM 2,69.0655058,33.4092689,RU
10262,239140,3031,Dying Light,69.0655058,33.4092689,RU
10289,434730,249,Half dead,69.0655058,33.4092689,RU
10294,235460,837,METAL GEAR RISING: REVENGEANCE,69.0655058,33.4092689,RU
10318,442500,3061,Age of Gladiators,69.0655058,33.4092689,RU
10343,374320,6558,DARK SOULS™ III,69.0655058,33.4092689,RU
10386,377160,38320,Fallout 4,69.0655058,33.4092689,RU
10454,71340,153,Sonic Generations,69.0655058,33.4092689,RU
10463,292030,22062,The Witcher 3: Wild Hunt,69.0655058,33.4092689,RU
10541,227300,22606,Euro Truck Simulator 2,69.0655058,33.4092689,RU
10560,400,241,Portal,52.6139686,0.8864021,GB
10565,12900,281,Audiosurf,52.6139686,0.8864021,GB
10569,3590,535,Plants vs. Zombies: Game of the Year,52.6139686,0.8864021,GB
10573,35700,347,Trine,52.6139686,0.8864021,GB
10576,550,1198,Left 4 Dead 2,52.6139686,0.8864021,GB
10587,10680,107,Aliens vs. Predator,52.6139686,0.8864021,GB
10592,43110,597,Metro 2033,52.6139686,0.8864021,GB
10609,22380,2109,Fallout: New Vegas,52.6139686,0.8864021,GB
10626,8930,503,Sid Meier's Civilization V,52.6139686,0.8864021,GB
10645,50300,54,Spec Ops: The Line,52.6139686,0.8864021,GB
10649,42910,1085,Magicka,52.6139686,0.8864021,GB
10682,620,1634,Portal 2,52.6139686,0.8864021,GB
10720,105600,3893,Terraria,52.6139686,0.8864021,GB
10722,98200,252,Frozen Synapse,52.6139686,0.8864021,GB
10724,91600,97,Sanctum,52.6139686,0.8864021,GB
10731,48000,146,LIMBO,52.6139686,0.8864021,GB
10732,107100,168,Bastion,52.6139686,0.8864021,GB
10736,113200,19,The Binding of Isaac,52.6139686,0.8864021,GB
10737,72850,6168,The Elder Scrolls V: Skyrim,52.6139686,0.8864021,GB
10778,55230,316,Saints Row: The Third,52.6139686,0.8864021,GB
10783,35720,531,Trine 2,52.6139686,0.8864021,GB
10787,67370,75,The Darkness II,52.6139686,0.8864021,GB
10789,201700,46,DiRT Showdown,52.6139686,0.8864021,GB
10796,207610,905,The Walking Dead,52.6139686,0.8864021,GB
10842,41500,138,Torchlight,52.6139686,0.8864021,GB
10845,211420,4045,DARK SOULS™: Prepare To Die Edition,52.6139686,0.8864021,GB
10862,208500,899,F1 2012,52.6139686,0.8864021,GB
10874,202170,87,Sleeping Dogs™,52.6139686,0.8864021,GB
10876,205100,674,Dishonored,52.6139686,0.8864021,GB
10896,49520,2811,Borderlands 2,52.6139686,0.8864021,GB
10932,200510,2336,XCOM: Enemy Unknown,52.6139686,0.8864021,GB
10966,214560,51,Mark of the Ninja,52.6139686,0.8864021,GB
10970,203140,563,Hitman: Absolution,52.6139686,0.8864021,GB
10982,201790,126,Orcs Must Die! 2,52.6139686,0.8864021,GB
10985,50620,124,Darksiders,52.6139686,0.8864021,GB
10990,203160,706,Tomb Raider,52.6139686,0.8864021,GB
11004,230410,151,Warframe,52.6139686,0.8864021,GB
11021,238960,4997,Path of Exile,52.6139686,0.8864021,GB
11052,221380,107,Age of Empires II (2013),52.6139686,0.8864021,GB
11060,8870,546,BioShock Infinite,52.6139686,0.8864021,GB
11085,31280,92,Poker Night at the Inventory,52.6139686,0.8864021,GB
11094,113020,390,Monaco,52.6139686,0.8864021,GB
11096,228300,59,Remember Me,52.6139686,0.8864021,GB
11099,210770,238,Sanctum 2,52.6139686,0.8864021,GB
11104,235250,149,Super Sanctum TD,52.6139686,0.8864021,GB
11109,209540,55,Strike Suit Zero,52.6139686,0.8864021,GB
11111,236090,46,Dust: An Elysian Tail,52.6139686,0.8864021,GB
11117,206190,201,Gunpoint,52.6139686,0.8864021,GB
11140,206420,966,Saints Row IV,52.6139686,0.8864021,GB
11159,224060,174,Deadpool,52.6139686,0.8864021,GB
11169,40390,27,Risen 2 - Dark Waters,52.6139686,0.8864021,GB
11170,225080,395,Brothers - A Tale of Two Sons,52.6139686,0.8864021,GB
11171,248820,290,Risk of Rain,52.6139686,0.8864021,GB
11178,2870,142,X Rebirth,52.6139686,0.8864021,GB
11180,250320,454,The Wolf Among Us,52.6139686,0.8864021,GB
11210,252950,62,Rocket League,52.6139686,0.8864021,GB
11219,221910,56,The Stanley Parable,52.6139686,0.8864021,GB
11220,261030,604,The Walking Dead: Season Two,52.6139686,0.8864021,GB
11252,262060,339,Darkest Dungeon®,52.6139686,0.8864021,GB
11262,39150,2371,FINAL FANTASY VIII,52.6139686,0.8864021,GB
11283,230230,126,Divinity: Original Sin (Classic),52.6139686,0.8864021,GB
11284,262940,645,Broken Sword 5 - the Serpent's Curse,52.6139686,0.8864021,GB
11295,268500,2392,XCOM 2,52.6139686,0.8864021,GB
11327,286160,2333,Tabletop Simulator,52.6139686,0.8864021,GB
11332,311690,693,Enter the Gungeon,52.6139686,0.8864021,GB
11334,261640,1037,Borderlands: The Pre-Sequel,52.6139686,0.8864021,GB
11353,241930,454,Middle-earth™: Shadow of Mordor™,52.6139686,0.8864021,GB
11369,388880,108,Oxenfree,52.6139686,0.8864021,GB
11371,264240,59,CONSORTIUM,52.6139686,0.8864021,GB
11372,319630,116,Life is Strange™,52.6139686,0.8864021,GB
